Date,oi,oi_chg,VSTD,VOSC,VMACD,VMA,VHF,TRIX,SRMI,SOBV,WR,SI,SAR,ROC,RSI,RC,PVT,PRICEOSC,MTM,MIKE,MACD,MA,slowKD,KDJ,EXPMA,ENV,DPO,DMI_2,DMA,CCI,BIAS,ADTM,end,begin,highest,lowest,closing_price_down,swing,contract_volume,contract_position,one,two,three,all_v,all_p,delta
1991/1/30,61861,2108,135.6567099,5.458547329,-11.58299258,278.894,0.354302832,-1.015708302,0.016213639,465885,83.25088339,-4.18,28.44413891,-31.87134503,37.38879471,70.41638684,32649.55435,-10.60205696,-0.91,24.21333333,-1.833939476,21.368,32.4337556,40.05327867,22.61544692,25.04931429,-6.2385,25.12174162,-5.7418,-44.47337586,-7.746453056,-0.061238223,20.97,22.2,22.35,20.9,-4.027459954,6.636155606,36529,61861,0.81,1.49,1.97,70387,227904,0.24
1991/1/31,62503,642,121.5460909,6.090465117,-13.86769758,274.708,0.354013605,-1.052200074,0.118384401,495793,79.22261484,-5.870063694,27.8326078,-28.36714333,42.95210627,70.1171875,33462.50428,-13.40739188,-0.5,24.40666667,-1.783882745,21.334,43.61175613,41.36885245,22.44999354,24.61395714,-5.916,25.32486284,-5.4672,-38.44999486,-2.179836512,-0.110962567,21.54,21.3,21.77,21.2,2.718168813,2.718168813,29908,62503,0.89,1.64,2.16,53059,229272,-0.56
1991/2/1,63010,507,85.12320075,4.010970914,-22.58981462,272.022,0.356633772,-1.072837906,0.047797563,474773,80.6360424,-1.943703704,27.26999917,-33.3125,41.40310898,73.81528883,33267.3325,-17.10460058,-0.37,24.42666667,-1.740289776,21.332,44.71483859,34.24590163,22.27922531,23.89921429,-5.8015,17.08033965,-5.0808,-33.64500019,0.985882167,-0.141042781,21.34,21.9,21.95,21.25,-0.928505107,3.249767874,21020,63010,0.94,1.69,2.19,37618,233328,-0.23
1991/2/4,64629,1619,86.61371863,-4.866148798,-27.25141841,279.542,0.354689204,-1.081987671,-0.033820841,451353,82.04946996,-10.42758621,26.75239924,2.472127969,39.68567061,71.34660817,33047.8386,-15.8033041,-0.21,23.64666667,-1.702257794,21.368,38.6282019,27.02813195,22.10395988,23.22308571,-5.6045,17.57983193,-4.829,-42.9111297,-0.161360148,-0.066133721,21.14,21.37,21.43,20.8,-0.937207123,2.952202437,23420,64629,0.96,1.62,2.05,50297,236669,-0.49
1991/2/5,64592,-37,81.82660855,-15.31710632,-24.26798641,284.452,0.362799777,-1.087078104,-0.06261343,420004,57.95918367,-12.64551724,26.2762073,8.794102159,35.45056838,64.76489028,32336.03538,-13.8001973,-0.3,21.67333333,-1.691352306,21.13,24.99790039,19.16161178,21.8818122,22.36448571,-5.781,13.997114,-4.7262,-62.42600679,-3.065373788,-0.027252082,20.66,21.15,21.25,20.6,-2.270577105,3.07473983,31349,64592,0.89,1.45,1.87,58378,236357,0.61
1991/2/6,61856,-2736,66.31933186,-17.1353743,-15.50834041,289.5,0.356633772,-1.073876213,-0.010133579,459057,41.02040816,8.642138085,25.70858657,5.757874016,47.15283459,65.22003035,33904.96036,-12.03350808,-0.36,22.02666667,-1.597322625,21.234,19.94356261,29.7267888,21.8215334,22.4296,-4.749,24.65034965,-4.552,5.498181818,0.369750516,0.098054475,21.49,20.88,21.6,20.85,4.017424976,3.630203291,39053,61856,1.12,1.85,2.37,82549,235476,-0.58
1991/2/7,63886,2030,69.58647417,-17.54219648,-11.07718368,301.25,0.359491572,-1.050555042,-0.006088993,423274,65.14285714,0.30809628,25.19772791,-3.016453382,44.03641166,64.5769933,33455.38334,-11.37292099,0.25,22.14,-1.526988001,21.17,21.40152851,31.62738301,21.7289898,22.59844286,-4.825,29.8,-4.3682,-4.709391039,-0.636047918,0.16194626,21.22,21.8,21.84,21.05,-1.256398325,3.676128432,35783,63886,1.3,2.03,2.51,79368,239382,0.67
1991/2/8,63388,-498,67.60614996,-19.85801702,-8.576907797,328.024,0.361188229,-1.008408702,0.04379562,457681,54.48275862,5.185753425,24.73795512,-0.54446461,53.58104897,65.86538462,34590.39277,-10.7836454,0.38,22.84666667,-1.398640498,21.286,35.36743092,46.22777915,21.75837599,22.71958571,-3.8495,33.26149425,-4.084,59.49367089,2.689830178,0.055646481,21.92,21.25,22,21.25,3.298774741,3.534401508,34407,63388,1.51,2.48,3.03,70948,243047,0.65
1991/2/11,61698,-1690,58.90572205,-21.10408169,-5.377125749,352.864,0.375794339,-0.945251241,0.027592345,493521,35.51724138,11.5123445,24.32415961,3.500690926,60.01141646,68.27711942,35489.66284,-10.01937224,1.13,23.98,-1.23826977,21.552,50.38946961,61.2250235,21.8678566,22.76425714,-3.0165,30.37094281,-3.7242,173.4285056,4.955042622,0.28045977,22.47,21.82,22.65,21.75,2.509124088,4.105839416,35840,61698,1.51,2.45,3.08,86950,248075,0.15
1991/2/12,62739,1041,59.35390094,-15.87715443,-2.898240944,361.622,0.381860875,-0.86238303,0.08547754,529249,4.897959184,7.519179487,23.97674365,7.400468384,64.89250517,79.48006932,36221.07717,-8.504123058,1.79,24.77333333,-1.061816696,22.006,69.5045628,72.5173626,22.03126328,22.83164286,-2.226,24.71451876,-3.4978,243.366465,6.448992224,0.19121447,22.93,22.78,23.05,22.08,2.04717401,4.316866934,35728,62739,1.79,2.75,3.42,75572,251753,0.14
